Timestamp,Temperature,Vibration,Pressure,EquipmentStatus
2022-01-01 00:00:00,27.483570765056164,4.071064891256277,1053.4189666847008,Normal
2022-01-01 00:01:00,24.308678494144075,0.6600984414024158,1030.2060444794258,Normal
2022-01-01 00:02:00,28.23844269050346,3.488205339694793,1115.1819376052395,Normal
2022-01-01 00:03:00,32.61514928204013,1.1099809879131484,926.0277888430138,Warning
2022-01-01 00:04:00,23.829233126383322,8.082352100092221,1062.96166198934,Normal
2022-01-01 00:05:00,23.8293152152541,9.476880259644707,1057.3220435200365,Normal
2022-01-01 00:06:00,32.896064077536955,0.7231647525793861,951.3310580986483,Normal
2022-01-01 00:07:00,28.837173645764544,9.551152072917015,1050.356666823658,Normal
2022-01-01 00:08:00,22.65262807032524,5.225765993367451,1016.8072481513115,Warning
2022-01-01 00:09:00,27.712800217929825,2.9956567795387388,988.6261870023296,Normal
2022-01-01 00:10:00,22.682911535937688,0.7686207527616351,958.8032256514,Normal
2022-01-01 00:11:00,22.671351232148716,5.006242680704178,964.0445274275407,Warning
2022-01-01 00:12:00,26.20981135783017,7.945155444907487,1102.4906047892964,Normal
2022-01-01 00:13:00,15.43359877671101,7.070864772666981,1000.0341409478741,Normal
2022-01-01 00:14:00,16.375410837434835,0.5022601146397376,1039.106500076573,Fault
2022-01-01 00:15:00,22.188562353795135,0.7290183536790351,960.4550309166224,Normal
2022-01-01 00:16:00,19.93584439832788,4.028732826326371,961.0073526889181,Normal
2022-01-01 00:17:00,26.571236662976368,2.9529049404794327,1054.0992404624972,Normal
2022-01-01 00:18:00,20.459879622393945,2.3238432305604784,932.5211894224234,Normal
2022-01-01 00:19:00,17.938481493323543,2.810044989087136,979.2393116047364,Normal
2022-01-01 00:20:00,32.32824384460777,8.034827432968846,1001.7013705536116,Warning
2022-01-01 00:21:00,23.871118497567323,9.29228053631854,1005.5686300920026,Normal
2022-01-01 00:22:00,25.33764102343962,4.051026945275664,991.0453357491922,Normal
2022-01-01 00:23:00,17.87625906893272,9.061110021324971,1019.7909890547961,Warning
2022-01-01 00:24:00,22.278086377374088,3.21495701247882,1034.6427877908907,Normal
2022-01-01 00:25:00,25.55461294854933,4.764369863437916,1036.7318772729666,Normal
2022-01-01 00:26:00,19.245032112888488,2.260289978159997,950.7098095666087,Normal
2022-01-01 00:27:00,26.87849009172836,6.404760421758439,985.7922451035602,Warning
2022-01-01 00:28:00,21.996806550405974,9.78981115174809,1059.738143093847,Warning
2022-01-01 00:29:00,23.541531251033618,6.034930960433787,1044.7323593786937,Normal
2022-01-01 00:30:00,21.991466938853016,3.5781408411354887,931.3570274259469,Normal
2022-01-01 00:31:00,34.26139092254469,6.478174459905284,1017.5739950176101,Normal
2022-01-01 00:32:00,24.93251387631033,1.2292067846538757,901.0887375312595,Warning
2022-01-01 00:33:00,19.711445355220498,8.886590802653986,1002.3467451030185,Normal
2022-01-01 00:34:00,29.112724560515943,5.030839507798364,1094.8883508372987,Normal
